date,daily_confirmed,acc_confirmed,daily_hos_add,acc_death,acc_recovered,serious,daily_death,effR
2021-12-31,78,383060,518,3175,375302,1,0,1.47
2022-01-01,78,383138,539,3175,375359,1,0,1.19
2022-01-02,82,383220,592,3175,375388,1,0,1.2
2022-01-03,103,383323,675,3175,375408,1,0,1.22
2022-01-04,151,383474,795,3175,375439,2,0,1.27
2022-01-05,388,383862,1183,3175,375439,3,0,1.38
2022-01-06,640,384502,1803,3175,375459,3,0,1.54
2022-01-07,920,385422,2622,3175,375560,3,0,1.69
2022-01-08,1223,386645,3787,3175,375618,4,0,1.84
2022-01-09,1223,387868,4934,3175,375694,4,0,1.94
2022-01-10,871,388739,5619,3175,375880,4,0,1.95
2022-01-11,959,389698,6349,3175,376109,4,0,1.92
2022-01-12,2196,391894,8344,3175,376310,4,0,1.84
2022-01-13,3121,395015,10832,3176,376942,4,1,1.74
2022-01-14,4055,399070,14202,3177,377626,3,1,1.65
2022-01-15,4559,403629,17936,3178,378450,4,1,1.57
2022-01-16,4166,407795,21068,3178,379484,5,0,1.52
2022-01-17,3713,411508,23500,3179,380764,5,1,1.51
2022-01-18,5181,416689,27646,3179,381799,7,0,1.52
2022-01-19,7366,424055,33221,3181,383588,10,2,1.49
2022-01-20,8634,432689,40257,3181,385186,9,0,1.44
2022-01-21,9695,442384,47971,3181,387167,11,0,1.39
2022-01-22,11217,453601,56850,3184,389502,12,3,1.36
2022-01-23,9460,463061,62704,3184,393108,13,0,1.34
2022-01-24,8493,471554,66567,3185,397737,12,1,1.32
2022-01-25,12797,484351,74601,3185,402500,14,0,1.3
2022-01-26,14077,498428,82918,3190,408255,18,5,1.27
2022-01-27,16525,514953,94892,3193,412803,18,3,1.25
2022-01-28,17610,532563,105345,3196,419957,20,3,1.23
2022-01-29,17424,549987,114302,3199,428421,22,3,1.21
2022-01-30,15893,565880,120129,3200,438486,23,1,1.19
2022-01-31,11743,577623,122066,3201,448291,26,1,1.18
2022-02-01,14445,592068,125804,3206,458993,29,5,1.14
2022-02-02,21576,613644,138908,3212,467459,30,6,1.13
2022-02-03,20679,634323,156038,3216,471004,38,4,1.11
2022-02-04,19798,654121,155393,3224,491439,41,8,1.09
2022-02-05,21122,675243,161723,3234,506221,44,10,1.08
2022-02-06,17526,692769,165077,3239,520388,45,5,1.06
2022-02-07,12211,704980,162581,3247,535087,48,8,1.05
2022-02-08,17113,722093,164729,3258,550041,51,11,1.06
2022-02-09,18287,740380,169537,3269,563509,59,11,1.03
2022-02-10,18891,759271,179489,3282,572435,64,13,1.01
2022-02-11,18660,777931,182709,3291,587866,61,9,1.01
2022-02-12,11765,789696,178780,3298,603553,62,7,0.97
2022-02-13,13074,802770,173460,3310,621935,65,12,0.96
2022-02-14,10334,813104,169538,3317,636184,74,7,0.95
2022-02-15,15525,828629,168538,3333,652693,77,16,0.94
2022-02-16,17331,845960,173100,3354,665441,81,21,0.95
2022-02-17,17864,863824,179442,3378,676939,81,24,0.95
2022-02-18,16129,879953,179404,3404,693080,80,26,0.95
2022-02-19,13516,893469,175100,3431,710873,87,27,0.97
2022-02-20,12935,906404,173402,3448,725489,87,17,0.98
2022-02-21,8805,915209,168559,3478,739107,82,30,0.98
2022-02-22,11443,926652,171588,3503,747496,82,25,0.98
2022-02-23,14567,941219,172024,3527,761603,80,24,0.97
2022-02-24,10169,951388,172822,3541,770960,81,14,0.95
2022-02-25,11125,962513,167275,3564,787609,79,23,0.94
2022-02-26,11562,974075,164762,3593,801655,73,29,0.93
2022-02-27,10321,984396,161557,3621,815153,75,28,0.92
2022-02-28,9632,994028,159257,3649,827057,69,28,0.93
